micros,ax,ay
4340139,0.4745,0.7350
4348207,0.5884,0.6434
4356129,0.6328,0.3967
4364166,0.7100,0.1329
4372174,0.7414,-0.0312
4380311,0.7198,-0.1099
4388149,0.6636,-0.3331
4396112,0.5704,-0.7017
4404152,0.4019,-0.8264
4412122,0.1920,-0.9020
4420150,-0.0928,-0.9881
4428135,-0.2968,-0.9503
4436140,-0.5915,-0.8509
4444107,-0.8070,-0.7668
4452153,-0.8248,-0.6501
4460106,-0.8378,-0.4513
4468158,-0.9057,-0.1467
4476146,-0.9401,-0.0165
4484164,-0.9421,0.0113
4492109,-0.9087,0.1807
4500152,-0.8456,0.4926
4508122,-0.7226,0.7139
4516150,-0.5732,0.7590
4524117,-0.3072,0.8382
4532175,-0.0762,0.9175
4540101,0.0689,0.8895
4548248,0.2627,0.8237
4556147,0.5041,0.7292
4564136,0.5872,0.6396
4572132,0.6250,0.4136
4580321,0.6888,0.1878
4588151,0.7478,-0.0173
4596110,0.7456,-0.0204
4604149,0.7338,-0.0569
4612138,0.6973,-0.2332
4620141,0.6115,-0.5283
4628109,0.4174,-0.8228
4636159,0.1635,-0.9133
4644112,-0.1189,-0.9967
4652149,-0.3762,-0.9286
4660094,-0.7175,-0.8087
4668153,-0.8131,-0.7374
4676099,-0.8370,-0.5640
4684143,-0.8754,-0.3038
4692117,-0.9391,-0.0407
4700143,-0.9482,-0.0123
4708090,-0.9319,0.0589
4716153,-0.8988,0.2353
4724103,-0.8134,0.5764
4732154,-0.6471,0.7429
4740104,-0.4431,0.8036
4748197,-0.1896,0.8889
4756111,-0.0176,0.9192
4764115,0.1661,0.8590
4772128,0.3772,0.7875
4780276,0.5656,0.7019
4788134,0.6104,0.5378
4796115,0.6570,0.3147
4804117,0.7152,0.1194
4812098,0.7433,-0.0304
4820117,0.7245,-0.0991
4828090,0.6813,-0.2992
4836124,0.5147,-0.5824
4844102,0.2657,-0.8755
4852150,-0.0243,-0.9727
4860088,-0.2687,-0.9593
4868140,-0.5789,-0.8532
4876089,-0.8080,-0.7650
4884130,-0.8161,-0.6756
4892100,-0.8291,-0.5014
4900136,-0.8795,-0.2696
4908094,-0.9460,-0.0411
4916115,-0.9373,0.0499
4924089,-0.8919,0.3056
4932172,-0.7297,0.7146
4940086,-0.4982,0.7833
4948116,-0.2386,0.8661
4956117,-0.0748,0.9195
4964117,0.0388,0.9011
4972210,0.2099,0.8424
4980278,0.3943,0.7775
4988138,0.5620,0.7074
4996085,0.5798,0.6606
5004126,0.6143,0.5195
5012098,0.6454,0.3841
5020136,0.6898,0.2269
5028085,0.7415,0.0273
5036129,0.7171,-0.1441
5044081,0.6549,-0.3846
5052145,0.4875,-0.7115
5060095,0.2433,-0.8819
5068120,-0.0366,-0.9728
5076091,-0.2794,-0.9562
5084102,-0.5767,-0.8577
5092091,-0.8099,-0.7670
5100124,-0.8209,-0.6953
5108070,-0.8363,-0.5720
5116134,-0.8701,-0.3719
5124072,-0.9301,-0.1349
5132109,-0.9555,0.0158
5140093,-0.8990,0.1928
5148310,-0.8158,0.5668
5156086,-0.6528,0.7362
5164102,-0.4419,0.8001
5172113,-0.1989,0.8792
5180274,-0.0371,0.9190
5188127,0.1155,0.8749
5196087,0.2901,0.8146
5204122,0.4999,0.7370
5212076,0.5982,0.6083
5220107,0.6598,0.3414
5228079,0.7340,0.0688
5236175,0.7362,-0.0702
5244089,0.6998,-0.1969
5252122,0.6355,-0.4711
5260092,0.5113,-0.7701
5268116,0.3427,-0.8441
5276069,0.1164,-0.9231
5284104,-0.1322,-0.9912
5292067,-0.3627,-0.9299
5300132,-0.6732,-0.8238
5308072,-0.8091,-0.7585
5316120,-0.8370,-0.6137
5324084,-0.8632,-0.3963
5332187,-0.9387,-0.1111
5340087,-0.9609,-0.0009
5348264,-0.9123,0.1527
5356076,-0.8268,0.5287
5364106,-0.6756,0.7296
5372102,-0.5175,0.7779
5380274,-0.2818,0.8515
5388112,-0.0704,0.9197
5396067,0.0553,0.8972
5404096,0.2333,0.8411
5412080,0.4481,0.7675
5420110,0.5846,0.6459
5428068,0.6513,0.3822
5436119,0.7285,0.0917
5444064,0.7319,-0.0898
5452107,0.6845,-0.2680
5460058,0.6043,-0.6009
5468104,0.4416,-0.8001
5476060,0.2447,-0.8798
5484284,-0.0136,-0.9669
5492184,-0.2349,-0.9717
5500188,-0.4995,-0.8839
5508144,-0.8009,-0.7735
5516246,-0.8140,-0.7383
5524098,-0.8391,-0.5720
5532139,-0.8713,-0.3157
5540072,-0.9518,-0.0248
5548275,-0.9420,0.0444
5556076,-0.8868,0.3082
5564107,-0.7366,0.7130
5572095,-0.5319,0.7768
5580257,-0.2851,0.8539
5588104,-0.0591,0.9207
5596055,0.0965,0.8872
5604102,0.3044,0.8162
5612073,0.5220,0.7337
5620108,0.5886,0.6314
5628073,0.6454,0.4029
5636089,0.7037,0.1737
5644059,0.7443,-0.0402
5652122,0.7061,-0.1724
5660060,0.6422,-0.4261
5668096,0.4960,-0.7816
5676050,0.2918,-0.8665
5684102,0.0440,-0.9495
5692051,-0.1873,-0.9838
5700142,-0.4347,-0.9057
5708096,-0.7477,-0.7971
5716093,-0.8081,-0.7584
5724075,-0.8376,-0.6172
5732115,-0.8581,-0.3957
5740075,-0.9334,-0.1154
5748086,-0.9654,-0.0147
5756066,-0.9521,0.0309
5764069,-0.9003,0.2735
5772088,-0.7455,0.7059
5780271,-0.5023,0.7856
5788092,-0.2653,0.8593
5796043,-0.0681,0.9194
5804071,0.0587,0.8986
5812065,0.2084,0.8488
5820103,0.3777,0.7899
5828043,0.5568,0.7132
5836079,0.5966,0.6066
5844036,0.6408,0.3957
5852090,0.6915,0.1960
5860049,0.7448,-0.0145
5868076,0.7120,-0.1462
5876043,0.6560,-0.3854
5884063,0.5114,-0.7331
5892061,0.2887,-0.8710
5900091,0.0260,-0.9598
5908044,-0.2314,-0.9749
5916103,-0.5238,-0.8774
5924049,-0.8019,-0.7724
5932115,-0.8206,-0.7245
5940057,-0.8444,-0.5920
5948069,-0.8621,-0.3696
5956044,-0.9283,-0.1074
5964077,-0.9480,-0.0202
5972077,-0.9509,0.0073
5980263,-0.9100,0.1730
5988079,-0.8145,0.5447
5996028,-0.5602,0.7666
6004126,-0.2989,0.8465
6012056,-0.0708,0.9174
6020079,0.0909,0.8825
6028029,0.2507,0.8279
6036092,0.4778,0.7389
6044029,0.5801,0.6614
6052273,0.6375,0.4218
6060030,0.7108,0.1507
6068099,0.7465,-0.0304
6076042,0.7437,-0.0409
6084091,0.7166,-0.1394
6092041,0.6497,-0.3879
6100075,0.5588,-0.7468
6108025,0.4175,-0.8148
6116073,0.2256,-0.8889
6124049,-0.0320,-0.9704
6132111,-0.2215,-0.9720
6140031,-0.4607,-0.8877
6148189,-0.7556,-0.7844
6156037,-0.8061,-0.7611
6164046,-0.8145,-0.6444
6172061,-0.8365,-0.4477
6180274,-0.8910,-0.2281
6188093,-0.9497,-0.0133
6196058,-0.9213,0.1238
6204082,-0.8640,0.4296
6212043,-0.6847,0.7260
6220071,-0.4756,0.7888
6228033,-0.2503,0.8615
6236058,-0.0676,0.9174
6244029,0.0460,0.8969
6252090,0.1801,0.8538
6260043,0.3240,0.8018
6268087,0.5011,0.7364
6276019,0.5736,0.6790
6284078,0.6169,0.5115
6292041,0.6552,0.3249
6300050,0.7148,0.1262
6308042,0.7432,-0.0432
6316065,0.7186,-0.1306
6324028,0.6562,-0.3597
6332108,0.5615,-0.7420
6340031,0.4163,-0.8133
6348137,0.2334,-0.8817
6356042,-0.0078,-0.9618
6364018,-0.1920,-0.9799
6372045,-0.4220,-0.9047
6380279,-0.7323,-0.7957
6388060,-0.8029,-0.7659
6396072,-0.8136,-0.6959
6404059,-0.8217,-0.5925
6412032,-0.8491,-0.4302
6420066,-0.9028,-0.2126
6428022,-0.9586,-0.0310
6436050,-0.9653,-0.0008
6444027,-0.9417,0.1134
6452075,-0.8387,0.4300
6460014,-0.5792,0.7686
6468065,-0.3365,0.8373
6476012,-0.0910,0.9186
6484065,0.0430,0.8974
6492010,0.2321,0.8308
6500060,0.4181,0.7601
6508024,0.5609,0.6973
6516063,0.5807,0.6559
6524034,0.6072,0.5418
6532066,0.6235,0.4275
6540013,0.6661,0.2742
6548208,0.7269,0.0737
6556025,0.7220,-0.1044
6564051,0.6743,-0.2948
6572039,0.5908,-0.6156
6580234,0.4471,-0.8064
6588045,0.2643,-0.8776
6596006,0.0524,-0.9501
6604069,-0.1403,-0.9951
6612011,-0.3157,-0.9464
6620044,-0.5096,-0.8737
6627999,-0.7439,-0.7935
6636066,-0.8055,-0.7668
6644009,-0.8140,-0.6948
6652043,-0.8235,-0.5706
6659999,-0.8561,-0.4052
6668055,-0.9103,-0.1833
6676012,-0.9584,0.0094
6684078,-0.9042,0.1880
6692028,-0.8289,0.5236
6700056,-0.6511,0.7390
6708027,-0.4652,0.7949
6716063,-0.2292,0.8696
6723994,-0.0442,0.9173
6732143,0.1110,0.8751
6740022,0.2860,0.8122
6748192,0.4843,0.7300
6756033,0.5662,0.6891
6764024,0.6082,0.5323
6772043,0.6435,0.3382
6780231,0.7193,0.1011
6788033,0.7419,-0.0332
6796009,0.7386,-0.0508
6804057,0.7094,-0.1572
6812002,0.6579,-0.3766
6820044,0.5882,-0.6791
6828017,0.5268,-0.7611
6836053,0.4127,-0.8133
6844002,0.2308,-0.8838
6852059,0.0038,-0.9596
6860002,-0.1860,-0.9809
6868032,-0.4311,-0.9004
6876005,-0.7660,-0.7856
6884039,-0.8157,-0.7060
6892009,-0.8347,-0.5267
6900052,-0.8917,-0.2848
6908005,-0.9628,-0.0392
6916044,-0.9646,-0.0061
6924009,-0.9373,0.0897
6932039,-0.8771,0.3614
6939996,-0.7173,0.7172
6948230,-0.5439,0.7711
6956004,-0.3204,0.8406
6964006,-0.0766,0.9192
6972019,0.0550,0.8943
6980267,0.2293,0.8366
6988029,0.4204,0.7644
6995984,0.5645,0.6987
7004070,0.5988,0.5989
7012066,0.6223,0.4183
